Team,Date,Tweet
76ers,2021-11-26,"RT @WisemanFan: Andrew Wiggins defense vs 76ers 
Tyrese maxey 0-4 0-1 1 TOV
Seth curry 1-3 0-1 1 block
Another good defensive night from An…"
76ers,2021-11-27,"マイアミヒートは運が良い

開幕二連戦だけど、二試合目は得意な76ers。

俺的には面白くはないが、今の76ersでは逆立ちしても勝てないだろう・・・

ボッコボコにやられなきゃいいが・・"
76ers,2021-11-28,D’Angelo Russell’s 35 points increase the Wolves to 121-120 victories over 76ers in 2OT – WCCO https://t.co/948ZYIz9UH
76ers,2021-11-29,@AyyeCoach32 @Lakers @sixers Lakers absolutely should.  76ers should laugh in their face when they try though.
76ers,2021-11-30,RT @HoopAnalysisNet: Here's how a massive blockbuster between the #Lakers and #76ers involving both Russell Westbrook and Ben Simmons could…
blazers,2021-11-09,RT @UntilJustice: We were discussing the numerous professional sports teams facing accusations of Racism and toxic environments. I neglecte…
blazers,2021-11-11,"HALFTIME - The Bush School Blazers 1, La Center Wildcats 0."
blazers,2021-11-12,"RT @MrRoss_RVHS: It’s GAME DAY Blazers‼️

Get Active and let’s #BeatHillcrest

@RidgeViewF_Ball @RidgeViewSports  @rvhs @CoachHowardII @Ric…"
blazers,2021-11-13,"RT @OregonianSports: Former Trail Blazers employees say Neil Olshey berated, intimidated staffers: ‘You tried not to be around him’ https:/…"
blazers,2021-11-14,"RT @Allwhiteyae: Melo = the guy who played for the Nuggets , Knicks , Rockets , Trail Blazers and Lakers. 
Not the youngest Ball brother"
blazers,2021-11-15,@Raptors36557179 current blazers coach
blazers,2021-11-16,"RT @brianlibby: I'm extra excited to share my latest In Search of Portland podcast episode for @xrayfm, featuring an hourlong interview wit…"
blazers,2021-11-17,"Maurice Lucas joined the Blazers in '76 via the ABA dispersal draft, and was a key piece in our Championship run! Lucas averaged 16 ppg/9 rebs over 5 seasons as a Blazer, later returning as asst coach!

Bids for this '77-78 Topps ballpoint-signed card start at $15!

#RipCity https://t.co/9vs5yTK6qM"
blazers,2021-11-19,"RT @CANOETRENDS: Happy International Men's Day from the team of Premium Men's Wear Brand.
CANOE- Perfection Every Time.
#InternationalMensD…"
blazers,2021-11-20,"RT @Schuster_Elias: Warriors
Clippers
Lakers
Blazers
Nuggets

The Chicago Bulls just walked out of that five-game road trip 3-2. Oh, and th…"
blazers,2021-11-23,"RT @trailblazers: .@Dame_Lillard has been named the @NBA Western Conference Player of the Week.

Congrats, Dame! 
https://t.co/JTXBjj9XrB h…"
blazers,2021-11-24,"BOOM! Blazers win 119-100 💰💰

Twitter record: 84-50, +71.75u

I like the easy ones 😎💎🙌🏼 

#gamblingtwitter #freenbapicks #freepicks #freepicks #sportsbetting https://t.co/7UiWRnCINA"
blazers,2021-11-25,@FangirlTennant @GDgeek Don't get me started on his velvet suits and blazers...
blazers,2021-11-26,Stephen Curry has surprised a lot of people helping the Warriors keep the best record 16-2 and averaging 28/6/7 with two steals and a block. The Blazers have been struggling looking to find their touch at 10-9 recently losing to the Kings.
blazers,2021-11-27,RT @WorldWideWob: ok so it’s pretty clear Draymond ordered Wiggins to Mortal Kombat Fatality the Blazers because both Covington and Nance t…
blazers,2021-11-28,"RT @UAB_FB: Let this sink in…

Since returning to action in 2017, UAB has won at least eight games every year, except the 2020 pandemic-sho…"
blazers,2021-11-29,@DistoHD u wear ur blazers?
blazers,2021-11-30,Who will hit the most THREES? #NBATwitter 🏀PISTONS @ BLAZERS
bucks,2021-11-09,@geog_luke Great choice man!!! Welcome to The Ohio State University and to The mat!!! Can't wait to see what you bring to The University and The mat....remember BOTH are important!!!  Go Bucks 🌰🌰🌰🌰😎
bucks,2021-11-11,"I NEVER thought I would say this, let alone think it. I like @GraysonJAllen Dude is fitting in nicely. It may have been my hatred of Duke basketball was more about me than Duke basketball #bucks"
bucks,2021-11-12,"Think #Fortnite || think free v bucks || think about us ||
❤️Like and retweet
❤️Follow
❤️Click on the link in bio https://t.co/xg8YutvKFE"
bucks,2021-11-13,If remy 13 bucks keep ‘em coming 😂😂
bucks,2021-11-14,"@sztandarmlodych Jeszcze można się łudzić zaklęciem, że ""kiedy LBJ"" wróci, ale fakty są takie, że to póki co b. przeciętna drużyna, która w męczarniach wygrywa ze średniakami/słabiakami. W tej formie nie maja czego szukać w konfrontacji z Nets, Bucks, Suns, GSW czy nawet WW i Chicago."
bucks,2021-11-15,"RT @Rogue_Co: We're teaming up with @IGN to launch the biggest, weirdest #indiegame jam ever! #RogueJam2021 is awarding a grand prize of ha…"
bucks,2021-11-16,"@Connerdoee1 I do like 2-3 game parlays, or teasers. If i do a big parlay I’m throwing no more then 10 bucks on it"
bucks,2021-11-17,"RT @BucksGG: 🚨 Trade Alert 🚨

Bucks Gaming has acquired the fourth pick in the first round of the 2022 @NBA2KLeague Draft from @LakersGamin…"
bucks,2021-11-19,@eddiegangland Community is always better than quick bucks❤️✨
bucks,2021-11-20,RT @Angeiav2: Come sub to my Onlyfans it’s only five bucks👉🏽🥺👈🏽 https://t.co/yt41lccKhM
bucks,2021-11-23,RT @edfsnba: Forget LeBron the @Bucks should be suspended for at least five games for this beatdown!! https://t.co/dum83sJLoP
bucks,2021-11-24,"@BreaTheBeagle We moved to posh West Sussex from posh Bucks. It was posh, until me and Lenny turned up and now its gone right downhill, according to our parents."
bucks,2021-11-25,"@inkfycreates The app Easy Pose is a good option for people who use mobile tablets and phones for their art as well! The add-ons, which costs 5 bucks, includes a bunch of free assets, it's honestly a great option for people who don't use CSP and are on ipad only!! https://t.co/uFtHXJEsbq"
bucks,2021-11-26,"RT @SUMMONFISH: It’s https://t.co/1nqGgb40Hd creators day! If you feel like sparing a couple of bucks I’d be grateful, if not, take this as…"
bucks,2021-11-27,RT @RexChapman: It costs us nothing to be kind…
bucks,2021-11-28,"RT @AM_Newss: Who remembers the 2019 Advent Calendar in Adopt Me? 🎄☃️
You could claim a prize here every day, such as toys, bucks, gingerbr…"
bucks,2021-11-29,Keeping up the Billy Napier bucks forever #GeauxCajuns https://t.co/LtUFcxTHZk
bucks,2021-11-30,@TheVa11ey @FlexFromJersey Then again they still might not because I don’t see them giving much respect to the bucks
bulls,2021-11-09,RT @chicagobulls: Update: Coby has been recalled after practicing with the Windy City Bulls today.
bulls,2021-11-11,This the first game I have seen where the Bulls are hitting that offensive glass hard.  It’s nice to see.
bulls,2021-11-12,RT @WorldWideWob: The Chicago Bulls. https://t.co/dLlWyhdPWB
bulls,2021-11-13,RT @bulls_nikki: FRIENDLY REMINDER: THE CHICAGO BULLS PLAY BASKETBALL TONIGHT
bulls,2021-11-14,Los Angeles Lakers vs Chicago Bulls [2do tiempo] [ Temporada Regular 199... https://t.co/iRAWQvZF80 a través de @YouTube
bulls,2021-11-15,$GGPI  bulls eating their big ass lunch right now. Bears still on the hunt for crumbs 🏼
bulls,2021-11-16,"📣 New Podcast! ""Bulls vs Lakers 11/16/21"" on @Spreaker #alphabromega #basketball #bulls #chicago #chicagobulls #la #lakers #lalakers #losangelas #nba #sports #sportstalk https://t.co/oYO5z5huRE"
bulls,2021-11-17,"@opensea @wallstbullsNFT 
https://t.co/pY1vnpr9zp"
bulls,2021-11-19,"RT @79illwill: Bulls are on pace to win 50+ games and folks were losing their shit last night cause a gassed team, playing 3 games in 4 day…"
bulls,2021-11-20,"RT @Dezaxe: #SHIBARMY The 24 hour trade volume of SHIB has flipped Ethereum and Cardano⚡️☠️🔥🥰🚀💎🙌
https://t.co/U7Oyf0tdf9"
bulls,2021-11-23,Bulls getting their ass handed to them. Give Indiana credit tonight. #INDvsCHI
bulls,2021-11-24,"RT @HilltopNBA: Two years ago today, Zach LaVine dropped 49 points and 13 threes after he was benched by former Bulls coach Jim Boylen the…"
bulls,2021-11-25,"RT @nakoyeh: ✨""WE LOVE YOU!!!""✨

((I want to thank everyone for their continued support and kindness. I hope we continue to be like the Bla…"
bulls,2021-11-26,"RT @Ryzan55: RUH OH. Several days ago I said a trip here was likely.
I must have offended 4 bulls and they dropped me!
When, in reality, I…"
bulls,2021-11-27,"RT @chicagobulls: Tonight we debut our City Edition uniforms!

🎟: https://t.co/HPDcSmzb32 https://t.co/4u5hdxygUS"
bulls,2021-11-28,"Cheers, bears and bulls! https://t.co/7oHCsXomtf"
bulls,2021-11-29,@El_Brauliangas @KCJHoop Good point.  But Vucevic has been really struggling with his shooting.  The Bulls gave up a lot in the trade so I don't think the Bulls viewed Vuc as a 3rd option but as a franchise type player.  IMO they need to look for Vuc more in the half court offense.
bulls,2021-11-30,@BN_Bulls DMVP
cavaliers,2021-11-09,RT @JohnAOrtiz6: Check out 2018-19 COLLIN SEXTON Panini Donruss Basketball Rated Rookie #180 Cavaliers NBA  https://t.co/aZ9Vpb3dmB @eBay
cavaliers,2021-11-11,"Los #Wizards de Washington vencen a los #Cavaliers de Cleveland.

Kyle Kuzma en la victoria de los Wizards termina su noche con:
22 pts
5 reb
1 ast
1 stl
1 blk

Montezl Harrell desde el banco anotó 24 puntos.

En causa pérdida por los Cavs, Ricky Rubio anotó 20 puntos. https://t.co/XN6yJuEPYp"
cavaliers,2021-11-12,"RT @Revizorsb: William Holden (17 avril 1918 - 12 novembre 1981)...Boulevard du crépuscule, Stalag 17, Sabrina, Picnic, Les Cavaliers, Le P…"
cavaliers,2021-11-13,Notre Dame Fighting Irish ☘️💚💙🏈vs Virginia Cavaliers ⚔️on ABC@4:30pm  #goirish #beatthecavaliers https://t.co/Krj6qnrhbZ
cavaliers,2021-11-14,"The Jazz are trading Kendrick Nunn to the Cavaliers for Rudy Gobert, per sources."
cavaliers,2021-11-15,"RT @NBA: #LetEmKnow

Get your @cavs Nike NBA City Edition Jersey NOW ➡️ https://t.co/AjyK1mBgN3 https://t.co/1pO72apyRB"
cavaliers,2021-11-16,"Houston has won 27 straight home games.

Check out the odds, best bets and prediction as they take on Virginia 👇
https://t.co/HqPCMSpisJ https://t.co/b2rxHdIVFw"
cavaliers,2021-11-17,"RT @JCCC_WBB: 𝙂𝘼𝙈𝙀𝘿𝘼𝙔!! 

Cavaliers are set to face cross town foe, Metropolitan CC, tonight at home at 5:30pm 

⚔️🆚 ⚪️🔵
🕒 5:30pm
📍 JCCC Gy…"
cavaliers,2021-11-19,"RT @registaco: Off the ball movementnya gokil, dan masih sanggup bikin 3PT.

Bukan orang lo, Chef Curry 😭.

40 point, 6 assist, 4 rebound.…"
cavaliers,2021-11-20,RT @liliditali2: Les cavaliers de l'Apocalypse https://t.co/9fb682n6oR
cavaliers,2021-11-23,"RT @NetsDepiction: Game 18 
@ Cleveland Cavaliers https://t.co/5le52JHscB"
cavaliers,2021-11-24,"RT @buzzerbeats: 🏀NBA
Suns (14 - 3) @ Cavaliers (9 - 9)
🚨Buzzer Moment Watch
⏰7:00 pm EST
📱Buzzer⚡️, NBA League Pass
Spread: PHO: -7 (-110)…"
cavaliers,2021-11-25,Check out this listing I just added to my #Poshmark closet: Mens Cavaliers Hoodie. https://t.co/1tJSJ3irkT #shopmycloset @poshmarkapp
cavaliers,2021-11-26,RT @ShamsCharania: Just in on the return of Cavaliers rookie Evan Mobley: https://t.co/DMwotVSAjy
cavaliers,2021-11-27,"RT @tallysight: @bosborne13 has made a pick for @UVAFootball vs. @HokiesFB

#GoHoos #TheStandard | #27Straight #HardSmartTough #Hokies…"
cavaliers,2021-11-28,RT @FootballRecruit: Final Score: Gardena Serra defeats Apple Valley 31-3. Cavaliers are @CIFSS D3 Champions! 🏆 @Serra__Football https://t.…
cavaliers,2021-11-29,@NotFromSTL314 @garylmorey @ChingKaiLok1 @SportsCenter @StephenCurry30 I guess you didn't watch the last finals of the warriors vs Cavaliers😂
cavaliers,2021-11-30,"Nuovo episodio di #BasketcaffePodcast: #Timberwolves e #Cavaliers le piacevoli sorprese. #DeJounteMurray può essere la nuova guida degli #Spurs? #KembaWalker già scaricato dai #Knicks, dove finirà?

🎧 Da ascoltare 🎧 https://t.co/e03b5rlYA1"
celtics,2021-11-09,"RT @NBALatam: Un día como hoy, en 1988, Michael Jordan anotaba 52 puntos ante los poderosos Celtics 🔥

#NBA75 https://t.co/nXYec1mWja"
celtics,2021-11-11,RT @celtics: a good night for a home win ☘️ https://t.co/bgy1k3y2iH
celtics,2021-11-12,"RT @DanKelley66: Can't believe I'm saying this, but out of the Boston sports teams I'm most concerned with the Bruins at the moment.

Excit…"
celtics,2021-11-13,RT @rob_thibeault: End your night with a clean edit of that Romeo Langford dunk as the Celtics beat the Bucks in OT 😈 https://t.co/7v3621kR…
celtics,2021-11-14,"RT @Mike_Schmitz: Your NBA Rookie of the Year through 14 games, Evan Mobley. Over his last 5 games: 19.6 PTS, 7.4 REBS, 2.2 AST, 1.8 BLK, 1…"
celtics,2021-11-15,"RT @celtics: The City Edition Collection is here ☘️ 

Shop today: https://t.co/cqKfaz6tGh https://t.co/jlk3fdk2Kv"
celtics,2021-11-16,RT @masslivesports: LeBron James injury: There’s ‘growing optimism’ Lakers star could return at Celtics on Friday (report) https://t.co/uct…
celtics,2021-11-17,"RT @PaadoudouT: Le Real Madrid est le plus grand entité de l'histoire du sport.

Cr7 est le plus grand sportif de l'histoire du sport

Mesu…"
celtics,2021-11-19,@Im_Kyrito11 @yo_takeover @deez10349563 @TheNBACentral Foreal buddy really said the Celtics like he wasn't about to get checked 😂
celtics,2021-11-20,RT @HonestLarry1: Larry Bird. Boston Celtics. Relentless. https://t.co/riiuwkeFlp
celtics,2021-11-23,@AndyPrieto_ The Celtics team overall was 99
celtics,2021-11-24,Give Enes Kanter the credit he deserves https://t.co/4Dl5QgaqKm https://t.co/fONtXXsyxm
celtics,2021-11-25,@DubsNets Celtics are ass
celtics,2021-11-26,"RT @ColeyMick: “I don’t eat cheese” - Jayson Tatum, liar https://t.co/CgJVMhDFdU"
celtics,2021-11-27,"New tumblr post: ""#NBA2K22 Boston Celtics vs Cleveland Cavaliers MyLeague PS4..."" https://t.co/rZqeX2xmuc ifttt, youtube"
celtics,2021-11-28,"NBA
DET @ LAL Under 216 - BEST BET 🔨🔨🔨🔨🔨🔨🔨🔨

Boston Celtics (+110)

@Clappa12
@StreakCoolers"
celtics,2021-11-29,"RT @RaptorsFRA: Scottie Barnes contre les Celtics cette saison (3 matchs) :

22,3 points/match 🤯
9 rebonds/match
3 assists/match
56.7% FG
4…"
celtics,2021-11-30,@celtics @Grant2Will https://t.co/QskodG7eEv
clippers,2021-11-14,RT @WXBelk: “Turned Lakers City into Clippers City” https://t.co/GrgzsgANSQ
clippers,2021-11-15,"HIGHLIGHTS: DeMar DeRozan pours in 35 points as Chicago Bulls beat LA Clippers
https://t.co/57jiyz8IEh"
clippers,2021-11-16,"RT @PickServi: NBA FREE PICK:

Buen martes para todos señores, el dia de hoy me gusta una apuesta en este partido. 

Clippers vs Spurs 
Vea…"
clippers,2021-11-17,"RT @ericonomic: El Staples Center pasará a llamarse 'https://t.co/7PSNDib2AT Arena'
Esta gente va jodidamente fuerte y a por todas.
Y esto…"
clippers,2021-11-18,"Staples Center to be renamed https://t.co/4Nd1XLjC6I Arena in massive $700 million deal https://t.co/AS7kLHsOGr via @Yahoo 

#Lakers #Clippers #NBA #StaplesCenter #Crypto"
clippers,2021-11-19,"RT @PelicansNBA: On today's episode, voice of the Clippers @NoahEagle15 joins @dsallerson to discuss tonight’s matchup against L.A. &amp; Markm…"
clippers,2021-11-20,"RT @WarriorsLatam_: • Lakers✅
• Clippers✅
• Kings✅
• OKC✅
• Grizllies❌
• OKC✅
• Hornets✅
• Pels✅
• Rockets✅
• Hawks✅
• Wolves✅
• Bulls✅
• H…"
clippers,2021-11-23,"RT @TheNBACentral: https://t.co/wWGNmWnCY9’s updated Power Rankings: 

1. Golden State Warriors 
2. Phoenix Suns 
3. Chicago Bulls 
4. Broo…"
clippers,2021-11-24,RT @ringernba: Luka Doncic every time he plays the Clippers https://t.co/z2alxtfuXD
clippers,2021-11-25,Happy Thanksgiving Clippers! Enjoy the break. https://t.co/Msmm1Uqsu1
clippers,2021-11-26,"RT @clippers_corner: You guys wanted it, you guys asked for it, and now you're getting it.
A CLIPPER BATTLE ROYALE!!
11 AM EST (Sat) | 1 AM…"
clippers,2021-11-27,"RT @Univers_Bangtan: [IG] O mascote do LA Clippers, time de basquete,  postou um stories com o SUGA. 

""Uma imagem vale mais que mil palavr…"
clippers,2021-11-28,RT @rokokoprufei: thank u clippers i owe u my life https://t.co/rxuldYfqCc
clippers,2021-11-29,"RT @TheHoopCentral: Updated NBA Power Rankings, via @NBA:

1.) Warriors
2.) Suns
3.) Nets
4.) Heat
5.) Bucks
6.) Bulls
7.) Jazz
8.) Wizards…"
clippers,2021-11-30,"RT @BullsGotNext: DeMarcus Cousins ring chasing history

2019: signed with Warriors
2020: signed with Lakers
2021: signed with Clippers
202…"
grizzlies,2021-11-09,"RT @NBAdabad: só na noite passada na NBA:

- bulls surrou o nets no 4° período
- prorrogação entre grizzlies e timberwolves
- briga entre h…"
grizzlies,2021-11-11,LMAOOOOOO #CHAvsMEM #Hornets #Grizzlies https://t.co/M1m38MZKVN
grizzlies,2021-11-12,RT @EyesOfTigerFan: Ja Morant of the Memphis Grizzlies attended today Memphis Tigers practice today. https://t.co/iq0yd0fX6l
grizzlies,2021-11-13,"Boss texted me and told me I could come in an hour later, I'll be home in time to watch the grizzlies and the cavs game 💃💃💃 good day"
grizzlies,2021-11-14,"RT @KJCCCmedia: #KJCCC - After one half at Broncbuster Stadium, the Broncbusters of Garden City lead the Grizzlies of Butler 17-9 with 30 m…"
grizzlies,2021-11-15,"@929espn @geoff_calkins I mean, I care more abt the Grizzlies, so the Grizzlies."
grizzlies,2021-11-16,@TheHoopCentral Grizzlies tried upgrading for Steven Adams???
grizzlies,2021-11-17,RT @GGC_MSoccer: Seven Grizzlies Earn 2021 CAC All-Conference Honors. Congrats to all of our all-conference performers for their play durin…
grizzlies,2021-11-19,"RT @Ballislife: Ja Morant scored a game-high 28 points in the Grizzlies win over the Clippers. 

https://t.co/ueXkaEzHQW"
grizzlies,2021-11-20,RT @TheAliceSmith: US citizens who support communism are like children who think grizzlies are cute because they have a teddy bear.
grizzlies,2021-11-23,"After 1, Grizzlies trail the Jazz 30-27. Bane with 13p and Williams with 6p. LETS GO GRIZZ!!!"
grizzlies,2021-11-24,RT @DrewHill_DM: Grizzlies fans seeing the Ja Morant commercial on TV for the first time. https://t.co/lsJIkdZhJS
grizzlies,2021-11-25,Tony Allen asks Memphis Grizzlies to postpone jersey retirement to 2022-23 season https://t.co/Xv1sT3DDey
grizzlies,2021-11-26,ATS: Hawks at Grizzlies (-1.5) - Grizzlies with 0.5580 prob of being correct #HawksAtGrizzlies https://t.co/gvAiH1GKSR
grizzlies,2021-11-27,"Revisiting the rebrand of the Salsa to the Grizzlies

👤 | Clifford Hofferd (@CHofferd) 
📰 | https://t.co/t06CbCOKl0 

#BCHLNetwork #BCHL #YYJ #VictoriaBC https://t.co/7DuaUcFX5U"
grizzlies,2021-11-28,"RT @NathanChester24: So let me get this straight: The Grizzlies benched Gorgui Dieng, a versatile 2-way center, so that they could develop…"
grizzlies,2021-11-29,"Yellowstone’s backyard is now safe from being ransacked for gold. After a long battle, the courts sided with us in rejecting a giant gold mine that would’ve polluted Yellowstone’s tributaries and ruined habitat for grizzlies and other endangered species. https://t.co/U0AS3Kg1Br"
grizzlies,2021-11-30,Imagine if the Hornets traded Gordon Hayward for Justise Winslow because they wanted to take away a crutch from their young guys. Would Hornets fans support that trade the way the Grizzlies have supported this trade https://t.co/enI4OIPjSV
hawks,2021-11-09,Catch this before tip off time. Plenty of time with the 9 PM EST start for the Hawks. #TrueToAtlanta https://t.co/CQvWBNYbjp
hawks,2021-11-11,RT @ClutchPointsApp: Hawks' announcer Bob Rathbun hated HARD on Stephen Curry getting his 50th point 😂 https://t.co/rzkSLi23jd
hawks,2021-11-12,"@HAWKS_since2005 は？？未だに叩いてる人いるの？💢
嘘でしょ？！😠"
hawks,2021-11-13,"1:00 PM: @msuredhawks kicks off @NCAADIII Men's Soccer play with a first round game against Gordon. Good luck Red Hawks!
-
Live Stats: https://t.co/PIWWiu76vc https://t.co/oYsCXUlYJg"
hawks,2021-11-14,RT @Hawksgirlsoccer: We 👀 you @NariB2024 and @DyessPeyton.  Good luck to all our Hawks in Cali this weekend. #FAMILY https://t.co/VWUsjUEiAp
hawks,2021-11-15,RT @CaleSteinbaugh: Pumped to say i’m going to be a Hawk! @HCC_Hawks  @RazBerry02 https://t.co/R4BPNR9G4r
hawks,2021-11-16,"RT @hradzka: ME, a time traveller. “In 2021, the President of the United States will announce a partial immigration moratorium”
IMMIGRATION…"
hawks,2021-11-17,Ok! IMA BACK! Vacation was fab! Kraken tonite. Kraken Friday. Hawks Sunday. Let me be the lucky charm! 🍀 🍀🍀 #Seahawks #SeaKraken
hawks,2021-11-19,"@spaceswiper Enji looks at Hawks in confusion.  ""Did you get a concussion?""

Hawks blinks rapidly at the flame held in front of his face to check his eyes.  ""No?""  Why the fuck would a hallucination ask that?"
hawks,2021-11-20,"@IMythyI @YHawkeyes @hawkguymatt @marshallhawk1 @KinnickStatue @kinnick519 @LasVegashawk33 @tyhawk76 And you were still pissing in your pampers the last time ISU beat Iowa haha.
&amp; boom hawks go 9-2. Something ISU has NEVER done. Could go another 115 years without doing it.
Awe what a great day. ISU loses again to go 6-5. Hawks win again to go 9-2 and top 15. Hawkeye state, Baby!"
hawks,2021-11-23,"Per Hawks PR, John Collins is the first Hawk to have at least 10 points, five rebounds, five assists and five blocks in a game since Paul Millsap in 2017."
hawks,2021-11-24,"@Sota_Aisaka 🌰は石川カツオさんから打ちましたが、点に絡まなかったでつ😹
it was the first time Kuri Batting lineup for inter league...
Hawks could not win..."
hawks,2021-11-25,"December a busy month: fic exchange, publishing chapter 2 of Venti, Levi birthday month gifset, gojo gifset for birthday (maybe), animanga secret Santa gfx for tumblr, Levi birthday gift, hawks birthday gifset, maybe one for Nezuko if I’m feeling it"
hawks,2021-11-26,"RT @fukurocos: Oh no my finger slipped!

Thought I’d give you guys an exclusive look at my FAVOURITE #Mirko &amp; #Hawks photo that Charlie too…"
hawks,2021-11-27,and leotard discarding easily with it. Slowly dipping the passed out babe in the tub Dabi notices just how /dirty/ Hawks is. He’s got a healthy enough amount of chub on him sure but he’s still /dirty/ as all hell. Looking back how could he see Hawks face so clearly? Was it
hawks,2021-11-28,RT @bunnydabi: “A Favor” PART 1 | hawks x dabi x enji https://t.co/vx6PYlXUvm
hawks,2021-11-29,"@ChrisKirschner Most NBA rookies struggle until 2nd time thru the league (however if the Hawks are developing players in the G League fine). But what Jalen Johnson is missing is developing chemistry and reads in Atlanta.

Garbage minutes can be detrimental to development."
hawks,2021-11-30,"RT @GB_CoachMont: Coach Ferentz develops talent, Period Point blank. Go Hawks!!!"
heat,2021-11-09,"RT @irenegarth1946: Last night @SteveBarclay took the heat &amp; right beside him sat a silent @Jacob_Rees_Mogg why has he not resigned, why ha…"
heat,2021-11-11,"RT @extremetemps: October 2021 in #Argentina was mostly warmer than average,specially in the central parts due to the brutal heat wave in t…"
heat,2021-11-12,"RT @ArohaUnicorn: How normal people/non-aroha see: Eunwoo looks so cool with his hands in his pockets..

How I see: Eunwoo has at least 2 h…"
heat,2021-11-13,RT @armon_sadler3: Latino Heat.
heat,2021-11-14,"RT @suchasIut: “i know you cant help it puppy , i know that even my voice is enough to make my pet go in heat” FUCKMEFUCKMEFUCKMEBREEDMEOHM…"
heat,2021-11-15,RT @snb19692: Multi millionaire Nadhim Zahawi has form for making money!  Remember the MPs expenses scandal. We paid to keep his horses war…
heat,2021-11-16,Room Cooler is at full blast but ya the heat is heating😓
heat,2021-11-17,"RT @Mochievous: Anyway, i’ll rather take all the heat. Glad to have still been able to protect her identity. Continue attacking me. A milli…"
heat,2021-11-19,"RT @S6Bet: #NBA ! 🇺🇸 

Miami heat - Washington 

K.Kuzma +20,5 PR @ 1,76 ✅

#ParionsSport #TeamParieur 
#UnibetFrance @UnibetFrance ! 🍀 htt…"
heat,2021-11-20,RT @hornetsthread: a mutual of mine urgently needs warmer clothes bc the heat has not been working. Any help would be greatly appreciated.…
heat,2021-11-23,RT @invitation0nly: 🌕🧊 Lon Flexxe &amp; Bill Marlowe in Heat In The Night (1989) Dir. by Matt Sterling https://t.co/WayiWpzetP
heat,2021-11-24,RT @KotaSeitz: Making heat before my lazy ass even gets out of bed 😂🙏🏻 https://t.co/F7dcl4kUu4
heat,2021-11-25,RT @MSAsurfing: Aya Naseem goes down in Maldivian history as the first ever Women’s National Champion by winning SEASPORTS Rannamaari Chall…
heat,2021-11-26,"RT @ArtRoly: My wife got a few new characters recently and I wanted to draw one of my favs. Her name is Sylvia!

shes PERPETUALLY IN HEAT A…"
heat,2021-11-27,"RT @AthyChii: 🌙 : Heat and Love
✨ : Ongoing | Yaoi https://t.co/hZSh0kOOF0"
heat,2021-11-28,RT @thepovgod: 🔥NEW HEAT🔥she pulled up for some dick 🍆 @abbiemaley 😈 full video https://t.co/bVH8J35a7C https://t.co/yL33tOXrOj
heat,2021-11-29,"DUDE

THAT ISN'T A REPLICA

THAT'S ... THE GUN

https://t.co/WZWeEjvI7z"
heat,2021-11-30,"RT @joserael: #Asia  ""Heat Of The Moment"" (Video)  https://t.co/PKs9GWkYSA https://t.co/bltig8HBe5"
hornets,2021-11-09,@MatthewR2415 @hornets @MELOD1P https://t.co/hY84dN9Nz2
hornets,2021-11-11,"RT @BleacherReport: “YOWZA!!!” 🗣

Hornets announcers couldn’t believe this Miles Bridges dunk 😂 https://t.co/6Yi2bXpCqh"
